Region;Appellation;Domaine;Nom;Millesime;Quantite;Flacon;Meuble;Position;Couleur;Type;Cepage;Mets et vins;Note;A consommer avant;Fournisseur;Commentaires
Bordeaux;Haut Medoc;Chateau Segur;;2000;1;75cl;F;1;Rouge;Tranquille;Assemblage;;4;;Francis;
Bordeaux;Haut Medoc;Chateau Segur;;2002;5;75cl;F;1;Rouge;Tranquille;Assemblage;;3;;Francis;
Bordeaux;Haut Medoc;Chateau Segur;;2003;1;75cl;F;2;Rouge;Tranquille;Assemblage;;3;;Francis;
Bordeaux;Haut Medoc;Chateau Segur;;2004;6;75cl;F;2;Rouge;Tranquille;Assemblage;;3;;Francis;
Bordeaux;Haut Medoc;Chateau Segur;;2005;2;75cl;F;3;Rouge;Tranquille;Assemblage;;5;;Francis;
Bordeaux;Haut Medoc;Chateau Segur;;2006;13;75cl;F;4-5-6;Rouge;Tranquille;Assemblage;;4;;Francis;
Bordeaux;Haut Medoc;Chateau Segur;;2007;10;75cl;F;7-8;Rouge;Tranquille;Assemblage;;3;;Francis;
Bordeaux;Haut Medoc;Chateau Segur;;2008;6;75cl;F;9;Rouge;Tranquille;Assemblage;;4;;Francis;
Bordeaux;Haut Medoc;Chateau Segur;;2009;10;75cl;F;10-11;Rouge;Tranquille;Assemblage;;5;;Francis;
Bordeaux;Haut Medoc;Chateau Segur;;2009;5;50cl;B;7;Rouge;Tranquille;Assemblage;;5;;Francis;
Bordeaux;Haut Medoc;Chateau Segur;;2010;10;75cl;F;12-13;Rouge;Tranquille;Assemblage;;5;;Francis;dont 1 carton de 6 pour Alexandre hervouet
Bordeaux;Haut Medoc;Chateau Segur;;2011;12;75cl;F;14-15;Rouge;Tranquille;Assemblage;;3;;Francis;dont 1 carton de 6 pour Alexandre hervouet
Bordeaux;Haut Medoc;Chateau Segur;;2012;3;75cl;F;16;Rouge;Tranquille;Assemblage;;3;;Francis;
Bordeaux;Haut Medoc;Chateau Segur;;2015;14;75cl;F;16-17-18;Rouge;Tranquille;Assemblage;;5;;Francis;
Bordeaux;Haut Medoc;Chateau Segur;;2016;7;75cl;F;19-20;Rouge;Tranquille;Assemblage;;3;;Francis;
Bordeaux;Haut Medoc;Chateau Segur;;2017;23;75cl;F;20-21;Rouge;Tranquille;Assemblage;;3;;Francis;deduit 2 cartons pour fabien
Bordeaux;Haut Medoc;Chateau Segur;;2018;12;75cl;F-G;22;Rouge;Tranquille;Assemblage;;4;;Francis;deduit 3 btls pour fabien
Bordeaux;Haut Medoc;Chateau Segur;;2019;9;75cl;G;21-20;Rouge;Tranquille;Assemblage;;4;;Francis;deduit 3 btls pour fabien
Bordeaux;Haut Medoc;Chateau Segur;Fillon;2015;2;75cl;G;19;Rouge;Tranquille;Assemblage;;3;;Francis;
Bordeaux;Haut Medoc;Chateau Segur;Boisgrand;2003;1;75cl;G;19;Rouge;Tranquille;Assemblage;;2;;Cadeau;
Bordeaux;Haut Medoc;Chateau Segur;;1999;1;150cl;B;3;Rouge;Tranquille;Assemblage;;3;;Papy Francis;
Bordeaux;Haut Medoc;Chateau Segur;;2000;1;150cl;B;3;Rouge;Tranquille;Assemblage;;3;;;
Bordeaux;Haut Medoc;Chateau Segur;;2002;1;150cl;B;3;Rouge;Tranquille;Assemblage;;3;;;
Bordeaux;Haut Medoc;Chateau Segur;;2004;2;150cl;B;2;Rouge;Tranquille;Assemblage;;3;;;
Bordeaux;Haut Medoc;Chateau Segur;;2005;1;150cl;B;3;Rouge;Tranquille;Assemblage;;;;;
Bordeaux;Haut Medoc;Chateau Segur;;2013;1;150cl;B;4;Rouge;Tranquille;Assemblage;;;;;
Bordeaux;Haut Medoc;Chateau Segur;;2014;2;150cl;B;4;Rouge;Tranquille;Assemblage;;;;;
Bordeaux;Haut Medoc;Chateau Segur;;2015;2;150cl;B;5;Rouge;Tranquille;Assemblage;;;;;
Bordeaux;Haut Medoc;Chateau Segur;;2016;1;150cl;B;4;Rouge;Tranquille;Assemblage;;;;;
Bordeaux;Haut Medoc;Chateau Segur;;2017;4;150cl;B;6;Rouge;Tranquille;Assemblage;;;;;
Bordeaux;Medoc;Chateau Gemeillan;;2012;1;75cl;G;13;Rouge;Tranquille;Assemblage;;3;;Cadeau;
Bordeaux;Haut-Medoc Cru bourgeois;Chateau Bareyres;;2018;1;150cl;B;2;Rouge;Tranquille;Assemblage;;4;;Cadeau;
Bordeaux;Haut Medoc;Chateau du bois de l'Eglise;;1999;1;150cl;B;2;Rouge;Tranquille;Assemblage;;4;;Cadeau;
